Date;Open*;High;Low;Close**;Volume;Market Cap
16/09/2014;1,9;1,91;1,83;1,84;149855;6557510
17/09/2014;1,84;1,9;1,65;1,77;291633;6389740
18/09/2014;1,74;1,74;1,5;1,57;253082;6076160
19/09/2014;1,57;1,59;1,38;1,45;171739;5503840
20/09/2014;1,44;1,57;1,17;1,27;362626;5094260
21/09/2014;1,27;1,41;1,17;1,27;239591;4502750
22/09/2014;1,27;1,34;1,21;1,26;137822;4552650
23/09/2014;1,26;1,5;1,23;1,47;205229;4526380
24/09/2014;1,46;1,56;1,45;1,51;122748;5285770
25/09/2014;1,5;1,51;1,39;1,4;126179;5441180
26/09/2014;1,4;1,46;1,32;1,39;81632;5104450
27/09/2014;1,38;1,39;1,28;1,31;95657;5082540
28/09/2014;1,31;1,37;1,21;1,22;84413;4821140
29/09/2014;1,22;1,23;1,14;1,15;83902;4533030
30/09/2014;1,16;1,25;1,14;1,22;82094;4344950
01/10/2014;1,21;1,22;1,17;1,2;65140;4536570
02/10/2014;1,22;1,22;1,18;1,19;61824;4588330
03/10/2014;1,18;1,18;1,07;1,1;113844;4493740
04/10/2014;1,09;1,13;0,966409;0,977628;65894;4166030
05/10/2014;0,977117;1,01;0,786768;0,879503;86073;3745430
06/10/2014;0,878679;0,99653;0,805445;0,979703;65377;3385660
07/10/2014;0,980493;1,01;0,90069;1;68252;3797610
08/10/2014;1;1,11;0,949084;1,09;116352;3906930
09/10/2014;1,09;1,16;1,05;1,11;66785;4255220
10/10/2014;1,1;1,15;1,04;1,14;121420;4343870
11/10/2014;1,14;1,15;1,06;1,08;81876;4499020
12/10/2014;1,08;1,1;1,04;1,09;58972;4280260
13/10/2014;1,08;1,13;1,02;1,1;92059;4324230
14/10/2014;1,1;1,16;1,07;1,07;63787;4406300
15/10/2014;1,08;1,08;0,911003;0,990811;104550;4365480
16/10/2014;0,986954;1,03;0,91834;0,999458;59154;3997770
17/10/2014;0,998718;0,998718;0,918857;0,973198;63034;4064590
18/10/2014;0,973584;1;0,948108;0,96583;60842;3981500
19/10/2014;0,965568;1,01;0,958882;0,994436;47858;3968000
20/10/2014;0,995676;1,01;0,916824;0,950394;86281;4110980
21/10/2014;0,952061;0,979182;0,932976;0,957783;50963;3949060
22/10/2014;0,956909;0,992102;0,942747;0,946716;63727;3987300
23/10/2014;0,942326;0,946193;0,725042;0,865496;97124;3944870
24/10/2014;0,842075;0,859968;0,744815;0,762157;52867;3541880
25/10/2014;0,763826;0,771308;0,671765;0,739802;54596;3227940
26/10/2014;0,74026;0,75317;0,685867;0,694402;37577;3142310
27/10/2014;0,697623;0,774522;0,603494;0,722831;141319;2974520
28/10/2014;0,704975;0,729839;0,604616;0,689257;82389;3016260
29/10/2014;0,687775;0,699246;0,621768;0,63306;23967;2958330
30/10/2014;0,632047;0,664415;0,590307;0,614064;48427;2731100
31/10/2014;0,61369;0,640114;0,598314;0,607218;37303;2663690
01/11/2014;0,607123;0,638227;0,571454;0,585832;33872;2647220
02/11/2014;0,586417;0,586417;0,561821;0,579494;26877;2568260
