Date;Open*;High;Low;Close**;Volume;Market Cap
15/04/2014;0,587995;0,653352;0,576325;0,647564;28751;2367280
16/04/2014;0,655849;0,687299;0,631659;0,655656;23860;2647720
17/04/2014;0,657735;0,669649;0,610727;0,615856;19435;2662660
18/04/2014;0,618219;1,03;0,612899;0,789777;293384;2509430
19/04/2014;0,794215;0,794215;0,701508;0,736829;57416;3232440
20/04/2014;0,747391;0,754119;0,689135;0,722926;30229;3050050
21/04/2014;0,722222;0,745336;0,673071;0,708118;29266;2955240
22/04/2014;0,707657;0,728795;0,666159;0,722089;72972;2903710
23/04/2014;0,722732;1,01;0,713825;0,873071;196373;2973610
24/04/2014;0,871977;1,15;0,871977;1,06;329106;3596660
25/04/2014;1,06;1,97;1;1,69;794049;4372240
26/04/2014;1,71;2,41;1,39;1,72;1204200;7094160
27/04/2014;1,7;2;1,54;1,71;509028;7054200
28/04/2014;1,67;1,77;1,62;1,67;198793;6957830
29/04/2014;1,67;1,7;1,45;1,64;302458;6952590
30/04/2014;1,63;1,66;1,49;1,54;38202;6827410
01/05/2014;1,54;1,59;1,47;1,52;232684;6438560
02/05/2014;1,51;1,54;1,18;1,35;171901;6343910
03/05/2014;1,35;1,35;1,14;1,2;93670;5661610
04/05/2014;1,19;1,7;1,16;1,55;275743;5002930
05/05/2014;1,56;1,84;1,52;1,67;291678;6598260
06/05/2014;1,68;1,71;1,6;1,61;75746;7096260
07/05/2014;1,61;1,69;1,56;1,63;100953;6817910
08/05/2014;1,61;1,74;1,61;1,65;84669;6841980
09/05/2014;1,65;2,33;1,63;2,23;520876;7011350
10/05/2014;2,23;2,88;2,04;2,57;854388;9492880
11/05/2014;2,54;2,82;2,54;2,57;569871;10825500
12/05/2014;2,56;2,66;2,15;2,47;760914;10934800
13/05/2014;2,47;2,8;2,43;2,77;415759;10560100
14/05/2014;2,75;4,69;2,72;4,01;1721090;11779400
15/05/2014;4,01;7,34;4;5,76;3215550;17183700
16/05/2014;5,84;6,62;4,99;5,92;2408390;25025600
17/05/2014;5,92;6,07;4,11;4,74;1637800;25430500
18/05/2014;4,71;6,38;4,22;6,38;2041030;20236200
19/05/2014;6,48;7,22;6,12;6,94;1655720;27873100
20/05/2014;6,93;7,06;6,13;6,88;1290930;29834300
21/05/2014;6,88;8;6,78;7,99;1414570;29664200
22/05/2014;8;11,23;7,98;11,23;4383980;34518300
23/05/2014;11,15;15,03;11,06;13,49;7267510;48114100
24/05/2014;13,51;13,85;10,63;12,1;3637020;58371700
